Account ID,,,,,,,,,,,,,
43546666-87bf-47d5-ac3c-735186a6dfe1,,,,,,,,,,,,,
Reporting Period,Accounting Period,Artist(s),Release,Track,UPC,ISRC,Partner,Country,Type,Units,Revenue (USD),Revenue Share (%),Split Pay Share (%)
2023-05,2023-07,,,Quizás Podemos,,QZMHK2399859,YouTube Music,US,YouTube Music Ad Views,3,0.0040832,80,100
2023-05,2023-07,Leila Mendes,,A Ver,,QM42K2309623,YouTube Music,MX,YouTube Music Ad Views,1,0,80,100
2023-05,2023-07,,,A Ver,,QM42K2309623,YouTube Music,US,YouTube Music Ad Views,4,0.0025512,80,100
2023-05,2023-07,Leila Mendes,,Sin Tiempo,,QM42K2355776,YouTube Music,US,YouTube Music Ad Views,2,0.006024,80,100
2023-05,2023-07,Leila Mendes,,Sé Que,,QZMHN2381628,YouTube Music,GT,YouTube Music Ad Views,1,0,80,100
2023-05,2023-07,,,Sé Que,,QZMHN2381628,YouTube Music,MX,YouTube Music Ad Views,5,0.000372,80,100
2023-05,2023-07,,,Sé Que,,QZMHN2381628,YouTube Music,NI,YouTube Music Ad Views,2,0,80,100
2023-05,2023-07,,,Sé Que,,QZMHN2381628,YouTube Music,PE,YouTube Music Ad Views,2,0,80,100
2023-05,2023-07,,,Sé Que,,QZMHN2381628,YouTube Music,SV,YouTube Music Ad Views,1,0,80,100
2023-05,2023-07,,,Sé Que,,QZMHN2381628,YouTube Music,US,YouTube Music Ad Views,6,0.0017888,80,100
2023-05,2023-07,Leila Mendes,,Tú y Yo,,QZS652388451,YouTube Music,AR,YouTube Music Ad Views,1,0.0007368,80,100
2023-05,2023-07,,,Tú y Yo,,QZS652388451,YouTube Music,BR,YouTube Music Ad Views,1,0.00032,80,100
2023-05,2023-07,,,Tú y Yo,,QZS652388451,YouTube Music,GR,YouTube Music Ad Views,1,0,80,100
2023-05,2023-07,,,Tú y Yo,,QZS652388451,YouTube Music,GT,YouTube Music Ad Views,1,0,80,100
2023-05,2023-07,,,Tú y Yo,,QZS652388451,YouTube Music,IE,YouTube Music Ad Views,1,0.0003712,80,100
2023-05,2023-07,,,Tú y Yo,,QZS652388451,YouTube Music,IN,YouTube Music Ad Views,1,0,80,100
2023-05,2023-07,,,Tú y Yo,,QZS652388451,YouTube Music,JP,YouTube Music Ad Views,1,0.0044664,80,100
