Date Inserted	Reporting Date	Sale Month	Store	Artist	Title	ISRC	UPC	Quantity	Team Percentage	Song/Album	Country of Sale	Songwriter Royalties Withheld (USD)	Earnings (USD)	Recoup (USD)
2025-07-23	2025-07-23	2025-05	Amazon Prime (Streaming)	The Face	Baby with a Mustache	QZFYW2139633	195920981253	2	100	Song	US	0	0.00813585	0.00000000
2025-07-23	2025-07-23	2025-05	Amazon Prime (Streaming)	Nuve	Penumbra	QZFYW2138573	195920987712	1	100	Song	IN	0	0.00079019	0.00000000
2025-07-22	2025-07-22	2025-05	Amazon Prime (Streaming)	The Face	Baby with a Mustache	QZFYW2139633	195920981253	1	100	Song	FR	0	0.00411843	0.00000000
2025-07-19	2025-07-19	2025-05	TikTok	Nuve	Khmer	QZFYW2139618	195920986432	2	100	Song	NG	0	0.00201777	0.00000000
2025-07-16	2025-07-16	2023-05	Boomplay	Nuve	Sama Sama	QZFYW2139616	195920986432	1	100	Song	GH	0	0.00030889	0.00000000
2025-07-16	2025-07-16	2023-05	Boomplay	Nuve	Sama Sama	QZFYW2139616	195920986432	1	100	Song	SN	0	0.00030892	0.00000000
2025-07-16	2025-07-16	2023-05	Boomplay	Nuve	Sama Sama	QZFYW2139616	195920986432	1	100	Song	UG	0	0.00030891	0.00000000
2025-07-16	2025-07-16	2023-01	Boomplay	The Face	Time and Space	QZPLR2080225	195920977126	1	100	Song	NG	0	0.00030888	0.00000000
2025-07-16	2025-07-16	2023-01	Boomplay	Nuve	Sama Sama	QZFYW2139616	195920986432	2	100	Song	SN	0	0.00061782	0.00000000
2025-07-16	2025-07-16	2023-01	Boomplay	Nuve	Sama Sama	QZFYW2139616	195920986432	1	100	Song	TZ	0	0.00030890	0.00000000
2025-07-16	2025-07-16	2022-12	Boomplay	The Face	Let's Gogh!	QZFYW2139639	195920981253	1	100	Song	ZM	0	0.00030888	0.00000000
2025-07-16	2025-07-16	2022-12	Boomplay	Nuve	Sama Sama	QZFYW2139616	195920986432	1	100	Song	KE	0	0.00030890	0.00000000
2025-07-16	2025-07-16	2022-12	Boomplay	Nuve	Sama Sama	QZFYW2139616	195920986432	1	100	Song	TZ	0	0.00030896	0.00000000
2025-07-16	2025-07-15	2025-05	Facebook	Nuve	Khmer	QZFYW2139618	195920986432	2	100	Song	OU	0	0.00003326	0.00000000
2025-07-16	2025-07-15	2025-05	Facebook	Nuve	Khmer	QZFYW2139618	195920986432	4	100	Song	US	0	0.00006651	0.00000000
2025-07-15	2025-07-15	2025-05	Facebook	Nuve	DeBachin	QZFYW2139613	195920988948	3	100	Song	US	0	0.00157571	0.00000000
2025-07-05	2025-07-05	2025-04	Facebook	The Face	Baby with a Mustache	QZFYW2139633	195920981253	1	100	Song	US	0	0.00039231	0.00000000
2025-07-05	2025-07-05	2025-04	Facebook	Nuve	Khmer	QZFYW2139618	195920986432	1	100	Song	OU	0	0.00001339	0.00000000
2025-07-05	2025-07-05	2025-04	Facebook	Nuve	Khmer	QZFYW2139618	195920986432	5	100	Song	US	0	0.00006696	0.00000000
2025-07-05	2025-07-05	2025-04	Facebook	Nuve	Umbra (Es Hermoso)	QZFYW2138572	195920987712	1	100	Song	OU	0	0.00001339	0.00000000
2025-07-05	2025-07-05	2025-03	Facebook	The Face	Weirdness Implied (feat. Hailey Burgin)	QZFYW2139636	195920981253	1	100	Song	US	0	0.00038957	0.00000000
2025-07-05	2025-07-05	2025-03	Facebook	Nuve	Khmer	QZFYW2139618	195920986432	5	100	Song	US	0	0.00006697	0.00000000
2025-07-05	2025-07-05	2025-03	Facebook	Nuve	Umbra (Es Hermoso)	QZFYW2138572	195920987712	1	100	Song	OU	0	0.00001339	0.00000000
2025-07-05	2025-07-05	2025-03	Facebook	Nuve	DeBachin	QZFYW2139613	195920988948	1	100	Song	US	0	0.00038957	0.00000000
